lat,lng,pop
-30.8996,135.3,50
-29.2828,114.9166,1213
-16.8878,145.7633,154225
-32.2394,115.7702,20086
-38.0996,145.2834,460491
-20.3104,118.606,14288
-34.7332,135.8666,13630
-31.445,152.9187,48547
-33.1911,137.99,12506
-38.34,141.59,11808
-20.4162,148.5835,3976
-33.6564,115.3487,10214
-27.083,152.95,31513
-36.2396,149.12,6520
-32.8119,134.2149,1060
-37.5696,144.71,29925
-33.92,151.1852,4630000
-17.4833,140.8334,173
-33.8573,121.8889,7888
-21.9311,114.1233,1085
-33.3896,148.02,4838
-29.2163,116,259
-29.4699,149.8301,8203
-14.4666,132.2666,10141
-33.7069,150.32,22076
-41.4498,147.1302,72458
-28.627,122.404,316
-34.5449,146.3973,7299
-28.8815,121.328,227
-37.0342,145.1273,3693
-32.5695,151.16,13813
-32.8453,151.815,1134616
-32.2,121.7666,1004
-35.6896,150.2073,10557
-33.4196,149.57,6111
-34.29,146.04,15455
-33.025,137.5614,22559
-31.5662,143.3833,442
-33.6996,117.5501,3934
-27.0787,153.1509,13649
-36.3162,140.7666,2583
-22.8996,139.9,600
-30.1,145.9333,2475
-21.1439,149.15,75922
-31.2161,119.3167,187
-35.3495,150.47,9250
-35.5596,138.6173,7760
-30.431,137.1656,528
-25.2887,152.8409,25114
-30.987,150.2623,7148
-26.1886,152.6709,11649
-18.2667,127.7667,1209
-37.7312,142.0234,8869
-22.3996,143.0333,1157
-32.5896,149.5801,5391
-32.8996,144.3,265
-21.6366,116.325,686
-32.26,148.5973,31574
-22.6935,117.7931,2723
-33.1296,148.17,11137
-38.1096,147.06,22486
-36.76,144.28,81657
-34.2829,140.6,4716
-34.935,138.6,1145000
-13.2495,131.1,237
-35.0169,117.8916,26445
-17.7161,139.5666,200
-41.0666,145.9167,19972
-37.383,140.8167,1514
-31.955,115.84,1532000
-32.9662,138.8333,1689
-32.0796,150.8501,4624
-41.1495,147.5167,2468
-30.3319,149.7874,7082
-32.9329,117.1666,4238
-19.25,146.77,138954
-38.1996,146.53,18226
-33.42,151.3,3026
-17.9618,122.2308,13218
-33.3443,115.6502,26998
-15.374,128.3601,800
-29.423,153.3533,1806
-34.3829,136.0833,1791
-32.1931,152.5266,17591
-24.8791,152.3509,52472
-25.2405,130.9889,930
-33.5995,150.74,13880
-20.7163,143.1333,296
-23.3639,150.52,65850
-20.7829,117.1333,19260
-26.5594,148.7907,5496
-20.7,140.5,1202
-35.9196,145.65,4659
-30.3071,153.1123,62978
-38.3395,143.58,9089
-23.701,133.88,27710
-37.2795,142.91,6110
-24.8998,113.6501,7392
-32.0991,133.6623,1586
-26.4,146.25,1900
-20.0809,146.2587,9573
-27.6662,114.1667,1537
-15.7666,128.7333,5679
-27.1939,151.2657,9847
-33.4961,150.1528,11128
-34.2333,116.15,4240
-32.721,151.555,18625
-32.5235,115.7471,73356
-20.7304,116.87,16796
-34.6074,138.7264,16362
-38.1675,144.3956,160991
-18.3,143.5333,818
-28.7666,114.6,27258
-37.0496,143.73,7046
-25.5491,152.7209,20678
-12.5329,131.05,5025
-27.5645,151.9555,92800
-21.6576,115.0963,573
-33.28,149.1,39329
-37.0596,142.76,6991
-36.1296,144.75,19457
-25.3662,151.1333,459
-23.5122,148.1673,9398
-31.1026,150.9171,38551
-31.8976,152.4618,44182
-37.5596,143.84,85109
-28.8614,153.568,14242
-23.5662,145.2834,1068
-34.6328,117.6666,1781
-37.8313,140.765,23209
